"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000236965_prok","GCA_000763325_prok","GCA_001465325_prok","GCA_001665495_prok","GCA_001886355_prok","GCA_001894905_prok","GCA_002215235_prok","GCA_003004765_prok","GCA_003288095_prok","GCA_003633655_prok","GCA_004153645_prok","GCA_009831075_prok","GCA_900105195_prok","GCA_900177695_prok","GCA_900455725_prok"
"group_2303","","hypothetical protein","15","15","1","43","4081","","","","257","266","258","GCA_000236965_prok_04725","GCA_000763325_prok_04554","GCA_001465325_prok_01478","GCA_001665495_prok_04352","GCA_001886355_prok_02682","GCA_001894905_prok_00129","GCA_002215235_prok_04590","GCA_003004765_prok_04923","GCA_003288095_prok_03826","GCA_003633655_prok_04214","GCA_004153645_prok_02025","GCA_009831075_prok_03072","GCA_900105195_prok_01918","GCA_900177695_prok_00519","GCA_900455725_prok_02022"
"group_2304","","hypothetical protein","15","15","1","43","4051","","","","521","521","521","GCA_000236965_prok_04753","GCA_000763325_prok_04527","GCA_001465325_prok_01505","GCA_001665495_prok_04379","GCA_001886355_prok_02655","GCA_001894905_prok_00156","GCA_002215235_prok_04616","GCA_003004765_prok_04899","GCA_003288095_prok_03799","GCA_003633655_prok_04241","GCA_004153645_prok_02001","GCA_009831075_prok_03046","GCA_900105195_prok_01945","GCA_900177695_prok_00495","GCA_900455725_prok_01998"
"group_2306","","hypothetical protein","15","15","1","43","4031","","","","440","506","475","GCA_000236965_prok_04769","GCA_000763325_prok_04510","GCA_001465325_prok_01523","GCA_001665495_prok_04398","GCA_001886355_prok_02638","GCA_001894905_prok_00174","GCA_002215235_prok_04635","GCA_003004765_prok_04882","GCA_003288095_prok_03783","GCA_003633655_prok_04259","GCA_004153645_prok_01984","GCA_009831075_prok_03027","GCA_900105195_prok_01963","GCA_900177695_prok_05001","GCA_900455725_prok_01981"
"group_2307","","hypothetical protein","15","15","1","43","3979","","","","530","572","549","GCA_000236965_prok_04818","GCA_000763325_prok_04461","GCA_001465325_prok_01574","GCA_001665495_prok_04447","GCA_001886355_prok_02589","GCA_001894905_prok_00223","GCA_002215235_prok_04682","GCA_003004765_prok_04831","GCA_003288095_prok_03732","GCA_003633655_prok_04308","GCA_004153645_prok_01935","GCA_009831075_prok_02980","GCA_900105195_prok_02012","GCA_900177695_prok_04950","GCA_900455725_prok_01932"
"group_231","","hypothetical protein","15","15","1","43","5605","","","","707","707","707","GCA_000236965_prok_02344","GCA_000763325_prok_00651","GCA_001465325_prok_00378","GCA_001665495_prok_02238","GCA_001886355_prok_03398","GCA_001894905_prok_03540","GCA_002215235_prok_04962","GCA_003004765_prok_01126","GCA_003288095_prok_04511","GCA_003633655_prok_03537","GCA_004153645_prok_01258","GCA_009831075_prok_02561","GCA_900105195_prok_01250","GCA_900177695_prok_02358","GCA_900455725_prok_02685"
"group_2312","","hypothetical protein","15","15","1","43","3913","","","","452","521","495","GCA_000236965_prok_04944","GCA_000763325_prok_04398","GCA_001465325_prok_01637","GCA_001665495_prok_00366","GCA_001886355_prok_02527","GCA_001894905_prok_00285","GCA_002215235_prok_03122","GCA_003004765_prok_04769","GCA_003288095_prok_03670","GCA_003633655_prok_04370","GCA_004153645_prok_01871","GCA_009831075_prok_02773","GCA_900105195_prok_02074","GCA_900177695_prok_04889","GCA_900455725_prok_01868"
"group_2313","","hypothetical protein","15","15","1","43","6293","","","","542","542","542","GCA_000236965_prok_05023","GCA_000763325_prok_03757","GCA_001465325_prok_03668","GCA_001665495_prok_01034","GCA_001886355_prok_01846","GCA_001894905_prok_04511","GCA_002215235_prok_03172","GCA_003004765_prok_04159","GCA_003288095_prok_03040","GCA_003633655_prok_00086","GCA_004153645_prok_02838","GCA_009831075_prok_04190","GCA_900105195_prok_02646","GCA_900177695_prok_04300","GCA_900455725_prok_01303"
"mmgC_5","","Acyl-CoA dehydrogenase","15","15","1","43","4705","","","","1142","1274","1152","GCA_000236965_prok_02631","GCA_000763325_prok_00164","GCA_001465325_prok_00901","GCA_001665495_prok_01355","GCA_001886355_prok_02859","GCA_001894905_prok_01447","GCA_002215235_prok_02946","GCA_003004765_prok_05106","GCA_003288095_prok_04005","GCA_003633655_prok_04036","GCA_004153645_prok_03601","GCA_009831075_prok_04048","GCA_900105195_prok_01734","GCA_900177695_prok_00318","GCA_900455725_prok_02192"
"group_232","","hypothetical protein","15","15","1","43","3451","","","","1043","1109","1066","GCA_000236965_prok_02572","GCA_000763325_prok_01611","GCA_001465325_prok_04487","GCA_001665495_prok_02013","GCA_001886355_prok_04614","GCA_001894905_prok_04061","GCA_002215235_prok_02380","GCA_003004765_prok_02061","GCA_003288095_prok_00887","GCA_003633655_prok_02198","GCA_004153645_prok_04283","GCA_009831075_prok_00488","GCA_900105195_prok_00160","GCA_900177695_prok_00838","GCA_900455725_prok_03504"
"group_2322","","hypothetical protein","15","15","1","43","10657","","","","1133","1250","1215","GCA_000236965_prok_04265","GCA_000763325_prok_01251","GCA_001465325_prok_02952","GCA_001665495_prok_03282","GCA_001886355_prok_04085","GCA_001894905_prok_01128","GCA_002215235_prok_02016","GCA_003004765_prok_01701","GCA_003288095_prok_00547","GCA_003633655_prok_02583","GCA_004153645_prok_00706","GCA_009831075_prok_02311","GCA_900105195_prok_00507","GCA_900177695_prok_01342","GCA_900455725_prok_03184"
"dnaA","","Chromosomal replication initiator protein DnaA","15","15","1","43","10712","","","","1733","1925","1771","GCA_000236965_prok_04318","GCA_000763325_prok_01304","GCA_001465325_prok_02899","GCA_001665495_prok_03230","GCA_001886355_prok_04137","GCA_001894905_prok_01180","GCA_002215235_prok_01964","GCA_003004765_prok_01751","GCA_003288095_prok_00599","GCA_003633655_prok_02531","GCA_004153645_prok_00659","GCA_009831075_prok_01999","GCA_900105195_prok_00455","GCA_900177695_prok_01392","GCA_900455725_prok_03232"
"pgsA","","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase","15","15","1","43","1807","","","","728","824","758","GCA_000236965_prok_03483","GCA_000763325_prok_03165","GCA_001465325_prok_01058","GCA_001665495_prok_02585","GCA_001886355_prok_01243","GCA_001894905_prok_01969","GCA_002215235_prok_00711","GCA_003004765_prok_03610","GCA_003288095_prok_02466","GCA_003633655_prok_00608","GCA_004153645_prok_02353","GCA_009831075_prok_00222","GCA_900105195_prok_03168","GCA_900177695_prok_02747","GCA_900455725_prok_00820"
"mltG","","Endolytic murein transglycosylase","15","15","1","43","1971","","","","1739","1934","1867","GCA_000236965_prok_03638","GCA_000763325_prok_03317","GCA_001465325_prok_03848","GCA_001665495_prok_01712","GCA_001886355_prok_01398","GCA_001894905_prok_02644","GCA_002215235_prok_01095","GCA_003004765_prok_03766","GCA_003288095_prok_02620","GCA_003633655_prok_00454","GCA_004153645_prok_02503","GCA_009831075_prok_03784","GCA_900105195_prok_03015","GCA_900177695_prok_02906","GCA_900455725_prok_00970"
"group_2326","","hypothetical protein","15","15","1","43","1983","","","","602","617","608","GCA_000236965_prok_03648","GCA_000763325_prok_03327","GCA_001465325_prok_03860","GCA_001665495_prok_01722","GCA_001886355_prok_01408","GCA_001894905_prok_02634","GCA_002215235_prok_01105","GCA_003004765_prok_03776","GCA_003288095_prok_02630","GCA_003633655_prok_00444","GCA_004153645_prok_02512","GCA_009831075_prok_03794","GCA_900105195_prok_03005","GCA_900177695_prok_02916","GCA_900455725_prok_00979"
"group_2327","","hypothetical protein","15","15","1","43","1991","","","","491","500","491","GCA_000236965_prok_03656","GCA_000763325_prok_03335","GCA_001465325_prok_03868","GCA_001665495_prok_01730","GCA_001886355_prok_01416","GCA_001894905_prok_02626","GCA_002215235_prok_01113","GCA_003004765_prok_03784","GCA_003288095_prok_02638","GCA_003633655_prok_00436","GCA_004153645_prok_02520","GCA_009831075_prok_03802","GCA_900105195_prok_02997","GCA_900177695_prok_02924","GCA_900455725_prok_00987"
"group_2340","","hypothetical protein","15","15","1","43","6285","","","","764","770","764","GCA_000236965_prok_05030","GCA_000763325_prok_03750","GCA_001465325_prok_03675","GCA_001665495_prok_01027","GCA_001886355_prok_01838","GCA_001894905_prok_04518","GCA_002215235_prok_03165","GCA_003004765_prok_04152","GCA_003288095_prok_03033","GCA_003633655_prok_00093","GCA_004153645_prok_02831","GCA_009831075_prok_04197","GCA_900105195_prok_02653","GCA_900177695_prok_04293","GCA_900455725_prok_01297"
"group_2342","malT_3","HTH-type transcriptional regulator MalT","15","15","1","43","7074","","","","1991","2489","2447","GCA_000236965_prok_00368","GCA_000763325_prok_04249","GCA_001465325_prok_01715","GCA_001665495_prok_03995","GCA_001886355_prok_02442","GCA_001894905_prok_00368","GCA_002215235_prok_03434","GCA_003004765_prok_04677","GCA_003288095_prok_03587","GCA_003633655_prok_04520","GCA_004153645_prok_01794","GCA_009831075_prok_04538","GCA_900105195_prok_02157","GCA_900177695_prok_04805","GCA_900455725_prok_01784"
"group_2366","","hypothetical protein","15","15","1","43","4312","","","","1574","1610","1586","GCA_000236965_prok_02001","GCA_000763325_prok_00527","GCA_001465325_prok_00517","GCA_001665495_prok_02691","GCA_001886355_prok_03284","GCA_001894905_prok_01805","GCA_002215235_prok_05109","GCA_003004765_prok_00949","GCA_003288095_prok_04366","GCA_003633655_prok_03677","GCA_004153645_prok_01390","GCA_009831075_prok_02412","GCA_900105195_prok_01376","GCA_900177695_prok_04176","GCA_900455725_prok_02549"
"cobB_1","","Hydrogenobyrinate a,c-diamide synthase","15","15","1","43","4367","","","","2375","2378","2376","GCA_000236965_prok_01940","GCA_000763325_prok_00466","GCA_001465325_prok_00582","GCA_001665495_prok_01252","GCA_001886355_prok_03158","GCA_001894905_prok_01745","GCA_002215235_prok_03345","GCA_003004765_prok_00851","GCA_003288095_prok_04305","GCA_003633655_prok_03737","GCA_004153645_prok_03914","GCA_009831075_prok_01195","GCA_900105195_prok_01436","GCA_900177695_prok_04055","GCA_900455725_prok_02485"
"group_238","","putative NAD-dependent oxidoreductase","15","15","1","43","4746","","","","812","812","812","GCA_000236965_prok_01426","GCA_000763325_prok_00123","GCA_001465325_prok_00942","GCA_001665495_prok_01317","GCA_001886355_prok_02821","GCA_001894905_prok_01409","GCA_002215235_prok_02987","GCA_003004765_prok_05066","GCA_003288095_prok_03967","GCA_003633655_prok_04074","GCA_004153645_prok_03562","GCA_009831075_prok_04007","GCA_900105195_prok_01772","GCA_900177695_prok_00278","GCA_900455725_prok_02154"
"group_2381","","hypothetical protein","15","15","1","43","4122","","","","1448","1508","1482","GCA_000236965_prok_04686","GCA_000763325_prok_04592","GCA_001465325_prok_04900","GCA_001665495_prok_03111","GCA_001886355_prok_02717","GCA_001894905_prok_00085","GCA_002215235_prok_04550","GCA_003004765_prok_04964","GCA_003288095_prok_03863","GCA_003633655_prok_04176","GCA_004153645_prok_02057","GCA_009831075_prok_03111","GCA_900105195_prok_01874","GCA_900177695_prok_00559","GCA_900455725_prok_02055"
"tyrA_2","","hypothetical protein","15","15","1","43","6298","","","","911","914","913","GCA_000236965_prok_00113","GCA_000763325_prok_03762","GCA_001465325_prok_03663","GCA_001665495_prok_01039","GCA_001886355_prok_01851","GCA_001894905_prok_04506","GCA_002215235_prok_03177","GCA_003004765_prok_04164","GCA_003288095_prok_03045","GCA_003633655_prok_00081","GCA_004153645_prok_02843","GCA_009831075_prok_04185","GCA_900105195_prok_02641","GCA_900177695_prok_04305","GCA_900455725_prok_01308"
"ped","","(S)-1-Phenylethanol dehydrogenase","15","15","1","43","3053","","","","764","764","764","GCA_000236965_prok_00141","GCA_000763325_prok_02643","GCA_001465325_prok_01898","GCA_001665495_prok_00162","GCA_001886355_prok_00702","GCA_001894905_prok_04557","GCA_002215235_prok_00323","GCA_003004765_prok_03154","GCA_003288095_prok_01953","GCA_003633655_prok_01150","GCA_004153645_prok_00149","GCA_009831075_prok_02690","GCA_900105195_prok_03701","GCA_900177695_prok_00229","GCA_900455725_prok_00368"
"group_2410","","hypothetical protein","15","15","1","43","1501","","","","1232","1280","1248","GCA_000236965_prok_00153","GCA_000763325_prok_02864","GCA_001465325_prok_01440","GCA_001665495_prok_04509","GCA_001886355_prok_00921","GCA_001894905_prok_02297","GCA_002215235_prok_04048","GCA_003004765_prok_03339","GCA_003288095_prok_02151","GCA_003633655_prok_00931","GCA_004153645_prok_00302","GCA_009831075_prok_00670","GCA_900105195_prok_03496","GCA_900177695_prok_05022","GCA_900455725_prok_00562"
"pncA","","Nicotinamidase/pyrazinamidase","15","15","1","43","1512","","","","269","617","592","GCA_000236965_prok_00163","GCA_000763325_prok_02874","GCA_001465325_prok_01430","GCA_001665495_prok_04519","GCA_001886355_prok_00931","GCA_001894905_prok_02287","GCA_002215235_prok_04038","GCA_003004765_prok_03349","GCA_003288095_prok_02161","GCA_003633655_prok_00921","GCA_004153645_prok_00312","GCA_009831075_prok_00680","GCA_900105195_prok_03486","GCA_900177695_prok_02472","GCA_900455725_prok_00572"
"dapE_1","","Succinyl-diaminopimelate desuccinylase","15","15","1","43","1541","","","","1370","1370","1370","GCA_000236965_prok_00188","GCA_000763325_prok_02901","GCA_001465325_prok_01402","GCA_001665495_prok_00026","GCA_001886355_prok_00958","GCA_001894905_prok_02261","GCA_002215235_prok_04013","GCA_003004765_prok_03375","GCA_003288095_prok_02188","GCA_003633655_prok_00894","GCA_004153645_prok_00334","GCA_009831075_prok_00708","GCA_900105195_prok_03460","GCA_900177695_prok_02497","GCA_900455725_prok_00595"
"gno","","Gluconate 5-dehydrogenase","15","15","1","43","10467","","","","761","761","761","GCA_000236965_prok_00232","GCA_000763325_prok_00961","GCA_001465325_prok_03207","GCA_001665495_prok_02920","GCA_001886355_prok_04385","GCA_001894905_prok_00828","GCA_002215235_prok_00407","GCA_003004765_prok_01442","GCA_003288095_prok_00142","GCA_003633655_prok_03117","GCA_004153645_prok_00954","GCA_009831075_prok_03485","GCA_900105195_prok_00807","GCA_900177695_prok_00691","GCA_900455725_prok_02957"
"alkA","","putative bifunctional transcriptional activator/DNA repair enzyme AlkA","15","15","1","43","10408","","","","896","896","896","GCA_000236965_prok_00238","GCA_000763325_prok_00922","GCA_001465325_prok_03252","GCA_001665495_prok_02262","GCA_001886355_prok_04429","GCA_001894905_prok_00790","GCA_002215235_prok_01380","GCA_003004765_prok_01399","GCA_003288095_prok_00089","GCA_003633655_prok_03157","GCA_004153645_prok_01052","GCA_009831075_prok_03382","GCA_900105195_prok_00845","GCA_900177695_prok_00366","GCA_900455725_prok_02902"
"group_2420","","hypothetical protein","15","15","1","43","10405","","","","404","404","404","GCA_000236965_prok_00241","GCA_000763325_prok_00919","GCA_001465325_prok_03261","GCA_001665495_prok_02259","GCA_001886355_prok_04432","GCA_001894905_prok_00787","GCA_002215235_prok_01389","GCA_003004765_prok_01390","GCA_003288095_prok_00086","GCA_003633655_prok_03160","GCA_004153645_prok_01061","GCA_009831075_prok_03379","GCA_900105195_prok_00848","GCA_900177695_prok_00375","GCA_900455725_prok_02893"
"group_2424","","hypothetical protein","15","15","1","43","10399","","","","881","881","881","GCA_000236965_prok_00247","GCA_000763325_prok_00913","GCA_001465325_prok_03267","GCA_001665495_prok_02253","GCA_001886355_prok_04438","GCA_001894905_prok_00781","GCA_002215235_prok_01392","GCA_003004765_prok_01384","GCA_003288095_prok_00080","GCA_003633655_prok_03166","GCA_004153645_prok_01066","GCA_009831075_prok_03373","GCA_900105195_prok_00854","GCA_900177695_prok_00381","GCA_900455725_prok_02887"
"group_2425","","hypothetical protein","15","15","1","43","10396","","","","671","674","673","GCA_000236965_prok_00250","GCA_000763325_prok_00910","GCA_001465325_prok_03270","GCA_001665495_prok_02250","GCA_001886355_prok_04441","GCA_001894905_prok_00778","GCA_002215235_prok_01395","GCA_003004765_prok_01381","GCA_003288095_prok_00077","GCA_003633655_prok_03169","GCA_004153645_prok_01069","GCA_009831075_prok_03370","GCA_900105195_prok_00857","GCA_900177695_prok_00384","GCA_900455725_prok_02884"
"drrC","","putative doxorubicin resistance ABC transporter permease protein DrrC","15","15","1","43","4203","","","","851","881","871","GCA_000236965_prok_00329","GCA_000763325_prok_00093","GCA_001465325_prok_04999","GCA_001665495_prok_03061","GCA_001886355_prok_02795","GCA_001894905_prok_00008","GCA_002215235_prok_04472","GCA_003004765_prok_05042","GCA_003288095_prok_03940","GCA_003633655_prok_04099","GCA_004153645_prok_02133","GCA_009831075_prok_03189","GCA_900105195_prok_01797","GCA_900177695_prok_00637","GCA_900455725_prok_02131"
"group_2436","","hypothetical protein","15","15","1","43","7080","","","","1118","1229","1212","GCA_000236965_prok_00362","GCA_000763325_prok_04243","GCA_001465325_prok_01721","GCA_001665495_prok_03989","GCA_001886355_prok_02436","GCA_001894905_prok_00374","GCA_002215235_prok_03440","GCA_003004765_prok_04671","GCA_003288095_prok_03581","GCA_003633655_prok_04526","GCA_004153645_prok_01788","GCA_009831075_prok_04532","GCA_900105195_prok_02163","GCA_900177695_prok_04799","GCA_900455725_prok_01778"
"group_2437","","hypothetical protein","15","15","1","43","7079","","","","611","611","611","GCA_000236965_prok_00363","GCA_000763325_prok_04244","GCA_001465325_prok_01720","GCA_001665495_prok_03990","GCA_001886355_prok_02437","GCA_001894905_prok_00373","GCA_002215235_prok_03439","GCA_003004765_prok_04672","GCA_003288095_prok_03582","GCA_003633655_prok_04525","GCA_004153645_prok_01789","GCA_009831075_prok_04533","GCA_900105195_prok_02162","GCA_900177695_prok_04800","GCA_900455725_prok_01779"
"group_2438","","hypothetical protein","15","15","1","43","7078","","","","1208","1301","1276","GCA_000236965_prok_00364","GCA_000763325_prok_04245","GCA_001465325_prok_01719","GCA_001665495_prok_03991","GCA_001886355_prok_02438","GCA_001894905_prok_00372","GCA_002215235_prok_03438","GCA_003004765_prok_04673","GCA_003288095_prok_03583","GCA_003633655_prok_04524","GCA_004153645_prok_01790","GCA_009831075_prok_04534","GCA_900105195_prok_02161","GCA_900177695_prok_04801","GCA_900455725_prok_01780"
"group_2439","","putative S-adenosylmethionine-dependent methyltransferase/MSMEI_2290","15","15","1","43","7060","","","","800","848","828","GCA_000236965_prok_00382","GCA_000763325_prok_04263","GCA_001465325_prok_01701","GCA_001665495_prok_04009","GCA_001886355_prok_02456","GCA_001894905_prok_00354","GCA_002215235_prok_03422","GCA_003004765_prok_04690","GCA_003288095_prok_03601","GCA_003633655_prok_04506","GCA_004153645_prok_01808","GCA_009831075_prok_04552","GCA_900105195_prok_02143","GCA_900177695_prok_04817","GCA_900455725_prok_01798"
"nylA","","6-aminohexanoate-cyclic-dimer hydrolase","15","15","1","43","7056","","","","1070","1502","1444","GCA_000236965_prok_00386","GCA_000763325_prok_04267","GCA_001465325_prok_01697","GCA_001665495_prok_04013","GCA_001886355_prok_02460","GCA_001894905_prok_00350","GCA_002215235_prok_03418","GCA_003004765_prok_04694","GCA_003288095_prok_03605","GCA_003633655_prok_04502","GCA_004153645_prok_01812","GCA_009831075_prok_04556","GCA_900105195_prok_02139","GCA_900177695_prok_04821","GCA_900455725_prok_01802"
"group_2442","","Bifunctional protein","15","15","1","43","7295","","","","1157","1160","1158","GCA_000236965_prok_00434","GCA_000763325_prok_04116","GCA_001465325_prok_03285","GCA_001665495_prok_02830","GCA_001886355_prok_02209","GCA_001894905_prok_00499","GCA_002215235_prok_03570","GCA_003004765_prok_04539","GCA_003288095_prok_03396","GCA_003633655_prok_04735","GCA_004153645_prok_01664","GCA_009831075_prok_04399","GCA_900105195_prok_02288","GCA_900177695_prok_04669","GCA_900455725_prok_01652"
"group_2444","","hypothetical protein","15","15","1","43","7258","","","","962","1028","968","GCA_000236965_prok_00460","GCA_000763325_prok_04140","GCA_001465325_prok_01824","GCA_001665495_prok_02794","GCA_001886355_prok_02269","GCA_001894905_prok_00475","GCA_002215235_prok_03545","GCA_003004765_prok_04563","GCA_003288095_prok_03459","GCA_003633655_prok_04628","GCA_004153645_prok_01683","GCA_009831075_prok_04424","GCA_900105195_prok_02264","GCA_900177695_prok_04693","GCA_900455725_prok_01672"
"group_2445","","hypothetical protein","15","15","1","43","7169","","","","557","557","557","GCA_000236965_prok_00480","GCA_000763325_prok_04161","GCA_001465325_prok_01804","GCA_001665495_prok_02774","GCA_001886355_prok_02356","GCA_001894905_prok_00455","GCA_002215235_prok_03525","GCA_003004765_prok_04584","GCA_003288095_prok_03499","GCA_003633655_prok_04607","GCA_004153645_prok_01711","GCA_009831075_prok_04445","GCA_900105195_prok_02244","GCA_900177695_prok_04712","GCA_900455725_prok_01699"
"group_2446","","hypothetical protein","15","15","1","43","7157","","","","650","713","669","GCA_000236965_prok_00491","GCA_000763325_prok_04172","GCA_001465325_prok_01792","GCA_001665495_prok_02763","GCA_001886355_prok_02367","GCA_001894905_prok_00444","GCA_002215235_prok_03513","GCA_003004765_prok_04596","GCA_003288095_prok_03510","GCA_003633655_prok_04596","GCA_004153645_prok_01721","GCA_009831075_prok_04457","GCA_900105195_prok_02233","GCA_900177695_prok_04724","GCA_900455725_prok_01711"
"group_2447","","hypothetical protein","15","15","1","43","7155","","","","812","812","812","GCA_000236965_prok_00494","GCA_000763325_prok_04174","GCA_001465325_prok_01790","GCA_001665495_prok_02761","GCA_001886355_prok_02369","GCA_001894905_prok_00442","GCA_002215235_prok_03511","GCA_003004765_prok_04598","GCA_003288095_prok_03512","GCA_003633655_prok_04594","GCA_004153645_prok_01723","GCA_009831075_prok_04459","GCA_900105195_prok_02231","GCA_900177695_prok_04726","GCA_900455725_prok_01713"
"group_2448","","hypothetical protein","15","15","1","43","7132","","","","656","668","666","GCA_000236965_prok_00517","GCA_000763325_prok_04196","GCA_001465325_prok_01767","GCA_001665495_prok_02739","GCA_001886355_prok_02392","GCA_001894905_prok_00419","GCA_002215235_prok_03488","GCA_003004765_prok_04621","GCA_003288095_prok_03534","GCA_003633655_prok_04571","GCA_004153645_prok_01744","GCA_009831075_prok_04482","GCA_900105195_prok_02208","GCA_900177695_prok_04749","GCA_900455725_prok_01734"
"metB_2","","Cystathionine gamma-synthase","15","15","1","43","7114","","","","1133","1223","1161","GCA_000236965_prok_00533","GCA_000763325_prok_04211","GCA_001465325_prok_01752","GCA_001665495_prok_02724","GCA_001886355_prok_02407","GCA_001894905_prok_00404","GCA_002215235_prok_03473","GCA_003004765_prok_04639","GCA_003288095_prok_03549","GCA_003633655_prok_04556","GCA_004153645_prok_01759","GCA_009831075_prok_04497","GCA_900105195_prok_02193","GCA_900177695_prok_04767","GCA_900455725_prok_01749"
"mutT1","","putative 8-oxo-dGTP diphosphatase 1","15","15","1","43","7110","","","","956","956","956","GCA_000236965_prok_00537","GCA_000763325_prok_04215","GCA_001465325_prok_01748","GCA_001665495_prok_02720","GCA_001886355_prok_02411","GCA_001894905_prok_00400","GCA_002215235_prok_03469","GCA_003004765_prok_04643","GCA_003288095_prok_03553","GCA_003633655_prok_04552","GCA_004153645_prok_01763","GCA_009831075_prok_04501","GCA_900105195_prok_02189","GCA_900177695_prok_04771","GCA_900455725_prok_01753"
"yhjX","","putative MFS-type transporter YhjX","15","15","1","43","1562","","","","1304","1304","1304","GCA_000236965_prok_00593","GCA_000763325_prok_02922","GCA_001465325_prok_01374","GCA_001665495_prok_04092","GCA_001886355_prok_01012","GCA_001894905_prok_02225","GCA_002215235_prok_03989","GCA_003004765_prok_03399","GCA_003288095_prok_02209","GCA_003633655_prok_00859","GCA_004153645_prok_02144","GCA_009831075_prok_00731","GCA_900105195_prok_03424","GCA_900177695_prok_02521","GCA_900455725_prok_00618"
"rlmAII","","23S rRNA (guanine(748)-N(1))-methyltransferase","15","15","1","43","3182","","","","866","899","889","GCA_000236965_prok_00609","GCA_000763325_prok_02520","GCA_001465325_prok_02023","GCA_001665495_prok_03797","GCA_001886355_prok_00583","GCA_001894905_prok_03126","GCA_002215235_prok_00198","GCA_003004765_prok_03031","GCA_003288095_prok_01842","GCA_003633655_prok_01262","GCA_004153645_prok_04084","GCA_009831075_prok_03652","GCA_900105195_prok_03812","GCA_900177695_prok_03340","GCA_900455725_prok_04406"
"group_2453","","hypothetical protein","15","15","1","43","3172","","","","902","968","929","GCA_000236965_prok_00619","GCA_000763325_prok_02530","GCA_001465325_prok_02013","GCA_001665495_prok_03787","GCA_001886355_prok_00593","GCA_001894905_prok_03136","GCA_002215235_prok_00208","GCA_003004765_prok_03041","GCA_003288095_prok_01852","GCA_003633655_prok_01252","GCA_004153645_prok_04074","GCA_009831075_prok_03642","GCA_900105195_prok_03802","GCA_900177695_prok_03330","GCA_900455725_prok_04416"
"group_2454","","hypothetical protein","15","15","1","43","3158","","","","1742","1808","1803","GCA_000236965_prok_00633","GCA_000763325_prok_02544","GCA_001465325_prok_01998","GCA_001665495_prok_00286","GCA_001886355_prok_00607","GCA_001894905_prok_03150","GCA_002215235_prok_00223","GCA_003004765_prok_03056","GCA_003288095_prok_01866","GCA_003633655_prok_01238","GCA_004153645_prok_04059","GCA_009831075_prok_03627","GCA_900105195_prok_03788","GCA_900177695_prok_03315","GCA_900455725_prok_04431"
"group_2455","","hypothetical protein","15","15","1","43","3155","","","","422","422","422","GCA_000236965_prok_00636","GCA_000763325_prok_02547","GCA_001465325_prok_01995","GCA_001665495_prok_00289","GCA_001886355_prok_00610","GCA_001894905_prok_03153","GCA_002215235_prok_00226","GCA_003004765_prok_03059","GCA_003288095_prok_01869","GCA_003633655_prok_01235","GCA_004153645_prok_04056","GCA_009831075_prok_03624","GCA_900105195_prok_03785","GCA_900177695_prok_03312","GCA_900455725_prok_04434"
"lipR","","Putative acetyl-hydrolase LipR","15","15","1","43","3152","","","","911","911","911","GCA_000236965_prok_00639","GCA_000763325_prok_02550","GCA_001465325_prok_01992","GCA_001665495_prok_00292","GCA_001886355_prok_00613","GCA_001894905_prok_03156","GCA_002215235_prok_00229","GCA_003004765_prok_03062","GCA_003288095_prok_01872","GCA_003633655_prok_01232","GCA_004153645_prok_04053","GCA_009831075_prok_03621","GCA_900105195_prok_03782","GCA_900177695_prok_03309","GCA_900455725_prok_04437"
"ydaP","","Putative thiamine pyrophosphate-containing protein YdaP","15","15","1","43","3147","","","","1571","1793","1763","GCA_000236965_prok_00643","GCA_000763325_prok_02554","GCA_001465325_prok_01988","GCA_001665495_prok_00296","GCA_001886355_prok_00619","GCA_001894905_prok_03160","GCA_002215235_prok_00233","GCA_003004765_prok_03066","GCA_003288095_prok_01876","GCA_003633655_prok_01228","GCA_004153645_prok_04049","GCA_009831075_prok_03617","GCA_900105195_prok_03778","GCA_900177695_prok_03305","GCA_900455725_prok_04441"
"group_2459","","hypothetical protein","15","15","1","43","3139","","","","464","521","469","GCA_000236965_prok_00651","GCA_000763325_prok_02562","GCA_001465325_prok_01980","GCA_001665495_prok_00304","GCA_001886355_prok_00627","GCA_001894905_prok_03168","GCA_002215235_prok_00241","GCA_003004765_prok_03074","GCA_003288095_prok_01884","GCA_003633655_prok_01220","GCA_004153645_prok_04041","GCA_009831075_prok_03609","GCA_900105195_prok_03770","GCA_900177695_prok_03297","GCA_900455725_prok_04449"
"group_2461","","Universal stress protein/MSMEI_3859","15","15","1","43","2705","","","","893","893","893","GCA_000236965_prok_03429","GCA_000763325_prok_02047","GCA_001465325_prok_02304","GCA_001665495_prok_03482","GCA_001886355_prok_00032","GCA_001894905_prok_03822","GCA_002215235_prok_04937","GCA_003004765_prok_02538","GCA_003288095_prok_01355","GCA_003633655_prok_01739","GCA_004153645_prok_03247","GCA_009831075_prok_01523","GCA_900105195_prok_04370","GCA_900177695_prok_01912","GCA_900455725_prok_03931"
